run_id,note,engine,mode,shards,server_threads,shard_io_threads,cores_used,server_cpus,client_cpus,client_threads,client_conns,pipeline,ratio,data_bytes,key_max,test_time,populate,rep,ops_per_sec,ops_per_core,p50_ms,p99_ms,p999_ms,hit_rate,hits_per_sec,misses_per_sec,conn_errors,kb_per_sec
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,2,651147.38,162786.85,0.407,10.623,11.199,1.0,325561.29,0.0,0,680009.63
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,1,1988496.59,497124.15,19.711,49.919,60.159,1.0,1807700.96,0.0,0,2072665.04
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,1,2036985.67,509246.42,23.679,46.335,57.343,1.0,1018474.94,0.0,0,2127275.43
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,2,1993093.14,498273.28,19.967,49.407,60.415,1.0,1811876.23,0.0,0,2077456.17
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,2,2033839.47,508459.87,23.807,46.591,56.831,1.0,1016883.8,0.0,0,2123989.87
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,761082.59,190270.65,0.359,9.407,9.983,1.0,691870.33,0.0,0,105796.17
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,719985.09,179996.27,0.375,9.599,10.111,1.0,359979.92,0.0,0,101521.42
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,100,1000000,20,1,2,732670.26,183167.57,0.375,9.471,9.983,1.0,666042.35,0.0,0,101846.62
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,100,1000000,20,1,2,725152.4,181288.1,0.375,9.535,10.047,1.0,362563.7,0.0,0,102250.03
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,100,1000000,20,1,1,3129535.28,782383.82,15.743,27.391,33.023,1.0,2845011.81,0.0,0,435028.18
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,100,1000000,20,1,1,3021433.82,755358.45,16.383,28.671,34.559,1.0,1510704.26,0.0,0,426036.67
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,100,1000000,20,1,2,3122713.07,780678.27,15.871,27.263,32.639,1.0,2838809.11,0.0,0,434079.86
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,100,1000000,20,1,2,3005713.81,751428.45,16.319,29.055,35.071,1.0,1502839.11,0.0,0,423820.12
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,1,651168.89,162792.22,0.399,10.623,11.199,1.0,591950.2,0.0,0,678731.42
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,1,651019.75,162754.94,0.399,10.623,11.135,1.0,325497.85,0.0,0,679876.34
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,2,657844.62,164461.15,0.399,10.495,11.071,1.0,598018.12,0.0,0,685689.72
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,2,653518.64,163379.66,0.407,10.623,11.135,1.0,326747.32,0.0,0,682485.98
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,1,1920734.32,480183.58,20.223,50.687,62.463,1.0,1746093.76,0.0,0,2002034.55
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,1,1968512.79,492128.2,22.655,49.919,64.255,1.0,984226.1,0.0,0,2055767.52
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,2,1906306.1,476576.53,19.327,50.431,62.719,1.0,1732983.94,0.0,0,1986995.6
20260901-083406,scale-4c,valkey,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,2,1941145.35,485286.34,22.143,48.895,64.255,1.0,970543.59,0.0,0,2027187.03
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,1263464.18,157933.02,0.751,1.319,1.527,1.0,1148582.32,0.0,0,175630.85
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,1207706.79,150963.35,0.783,1.327,1.527,1.0,603842.35,0.0,0,170292.52
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mget10,100,1000000,20,1,1,438913.92,54864.24,2.063,4.511,5.855,1.0,4389139.25,0.0,0,1122049.64
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mset10,100,1000000,20,1,1,327440.59,40930.07,2.607,8.255,12.351,,0.0,0.0,0,837076.8
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:10,100,1000000,20,1,2,1212863.04,151607.88,0.783,1.343,1.543,1.0,1102580.62,0.0,0,168596.92
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,1:1,100,1000000,20,1,2,1212581.65,151572.71,0.791,1.295,1.503,1.0,606277.97,0.0,0,170979.86
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mget10,100,1000000,20,1,2,439864.92,54983.11,2.063,4.479,5.759,1.0,4398649.18,0.0,0,1124480.9
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,1,mset10,100,1000000,20,1,2,328724.46,41090.56,2.607,8.127,11.967,,0.0,0.0,0,840358.76
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:10,100,1000000,20,1,1,3675226.4,459403.3,3.951,9.087,11.519,1.0,3341092.14,0.0,0,510883.14
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:1,100,1000000,20,1,1,3744806.07,468100.76,3.887,8.831,11.199,1.0,1872397.71,0.0,0,528035.44
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mget10,100,1000000,20,1,1,478894.44,59861.81,31.743,44.543,50.175,1.0,4795214.17,0.0,0,1224256.81
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mset10,100,1000000,20,1,1,365360.15,45670.02,41.471,59.903,69.631,,0.0,0.0,0,934015.03
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:10,100,1000000,20,1,2,3661866.19,457733.27,3.967,9.215,11.903,1.0,3328946.66,0.0,0,509026.04
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,1:1,100,1000000,20,1,2,3740689.74,467586.22,3.903,8.831,11.071,1.0,1870338.9,0.0,0,527455.04
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mget10,100,1000000,20,1,2,477684.15,59710.52,31.871,44.799,50.431,1.0,4783109.68,0.0,0,1221162.7
20260901-083406,scale-8c,dragonfly,single,8,8,1,8,0-3,0-95,48,20,16,mset10,100,1000000,20,1,2,364101.0,45512.62,41.471,60.927,71.167,,0.0,0.0,0,930796.23
